"","species","latitude","longitude"
"327","Callitriche cophocarpa Sendtner",58.091436,14.796142
"328","Callitriche cophocarpa Sendtner",58.682121,16.232009
"329","Callitriche cophocarpa Sendtner",57.7737632004804,14.6909944996081
"330","Callitriche cophocarpa Sendtner",58.9681399,17.2241269
"331","Callitriche cophocarpa Sendtner",60.770597,14.908809
"332","Callitriche cophocarpa Sendtner",59.050773,17.148551
"333","Callitriche cophocarpa Sendtner",59.988365,18.811108
"334","Callitriche cophocarpa Sendtner",56.7006909,14.74987
"335","Callitriche cophocarpa Sendtner",59.3456079,17.101462
"336","Callitriche cophocarpa Sendtner",58.016536,15.6783059
"337","Callitriche cophocarpa Sendtner",57.650677,11.961185
"338","Callitriche cophocarpa Sendtner",59.145299,16.919149
"339","Callitriche cophocarpa Sendtner",60.1216459,17.851474
"340","Callitriche cophocarpa Sendtner",56.91573,14.797984
"341","Callitriche cophocarpa Sendtner",57.1694153,15.3459194
"342","Callitriche cophocarpa Sendtner",57.402858,12.13615
"343","Callitriche cophocarpa Sendtner",61.076127,13.684854
"344","Callitriche cophocarpa Sendtner",59.0964699,17.3101759
"345","Callitriche cophocarpa Sendtner",60.030534,17.9355559
"346","Callitriche cophocarpa Sendtner",56.165801,14.385495
"347","Callitriche cophocarpa Sendtner",58.9858449,17.175851
"348","Callitriche cophocarpa Sendtner",58.969391,16.348485
"349","Callitriche cophocarpa Sendtner",56.804029,16.259471
"350","Callitriche cophocarpa Sendtner",56.3305239,16.003271
"351","Callitriche cophocarpa Sendtner",58.3699299,15.969315
"352","Callitriche cophocarpa Sendtner",59.8588669,17.634414
"353","Callitriche cophocarpa Sendtner",59.780107,18.1421959
"354","Callitriche cophocarpa Sendtner",59.72072,18.8492959
"355","Callitriche cophocarpa Sendtner",59.079113,17.0897299
"356","Callitriche cophocarpa Sendtner",60.131928,18.5271329
"357","Callitriche cophocarpa Sendtner",62.191906,17.226336
"358","Callitriche cophocarpa Sendtner",59.0090679,17.088795
"359","Callitriche cophocarpa Sendtner",59.047558,16.8231989
"360","Callitriche cophocarpa Sendtner",57.37163,14.476333
"361","Callitriche cophocarpa Sendtner",58.834743,16.3463829
"362","Callitriche cophocarpa Sendtner",58.897711,16.9979219
"363","Callitriche cophocarpa Sendtner",59.008175,17.175788
"364","Callitriche cophocarpa Sendtner",57.902836,14.826146
"365","Callitriche cophocarpa Sendtner",62.492133,17.535402
"366","Callitriche cophocarpa Sendtner",58.6646069,16.527995
"367","Callitriche cophocarpa Sendtner",55.9935509,13.6048589
"368","Callitriche cophocarpa Sendtner",58.3890943,13.8468975
"369","Callitriche cophocarpa Sendtner",59.6631739,18.6931769
"370","Callitriche cophocarpa Sendtner",58.6374629,15.133666
"371","Callitriche cophocarpa Sendtner",56.9956231943764,14.1598473661448
"372","Callitriche cophocarpa Sendtner",58.4506689,15.732393
"373","Callitriche cophocarpa Sendtner",59.7845739,17.875333
"374","Callitriche cophocarpa Sendtner",57.8992370991622,15.1803973863588
"375","Callitriche cophocarpa Sendtner",62.6507679,16.4583489
"376","Callitriche cophocarpa Sendtner",59.284303,16.134183
"377","Callitriche cophocarpa Sendtner",57.8952359,14.037209
"378","Callitriche cophocarpa Sendtner",56.68492,16.48404
"379","Callitriche cophocarpa Sendtner",58.5578179,16.786207
"380","Callitriche cophocarpa Sendtner",55.5652669,14.068013
"381","Callitriche cophocarpa Sendtner",56.05196,13.95032
"382","Callitriche cophocarpa Sendtner",58.1626589,12.196804
"383","Callitriche cophocarpa Sendtner",57.907299,14.708026
"384","Callitriche cophocarpa Sendtner",60.4019169,17.72023
"385","Callitriche cophocarpa Sendtner",59.6613449,16.9361989
"386","Callitriche cophocarpa Sendtner",60.031947,17.845922
"387","Callitriche cophocarpa Sendtner",59.664299,17.131034
"388","Callitriche cophocarpa Sendtner",57.0708709,12.933171
"389","Callitriche cophocarpa Sendtner",59.5385769,17.8160269
"390","Callitriche cophocarpa Sendtner",57.899595,13.4778876
"391","Callitriche cophocarpa Sendtner",55.996209,14.7225699
"392","Callitriche cophocarpa Sendtner",58.3297639,12.900562
"393","Callitriche cophocarpa Sendtner",58.125787,12.820414
"394","Callitriche cophocarpa Sendtner",56.6644303,16.365269
"395","Callitriche cophocarpa Sendtner",57.7260309,13.320237
"396","Callitriche cophocarpa Sendtner",58.3598229,13.814104
"397","Callitriche cophocarpa Sendtner",60.305556,17.546325
"398","Callitriche cophocarpa Sendtner",59.1559439,17.880948
"399","Callitriche cophocarpa Sendtner",57.708547,14.901865
"400","Callitriche cophocarpa Sendtner",59.0516,17.308218
"401","Callitriche cophocarpa Sendtner",59.810116,17.66837
"402","Callitriche cophocarpa Sendtner",57.5707939,16.4828639
"403","Callitriche cophocarpa Sendtner",58.9842939,17.3052889
"404","Callitriche cophocarpa Sendtner",59.0148859,16.1751369
"405","Callitriche cophocarpa Sendtner",56.3757579,12.923882
"406","Callitriche cophocarpa Sendtner",57.3998644,16.2012309
"407","Callitriche cophocarpa Sendtner",59.6587359,17.671838
"408","Callitriche cophocarpa Sendtner",57.7610941615514,14.8421518782584
"409","Callitriche cophocarpa Sendtner",59.837854,15.881109
"410","Callitriche cophocarpa Sendtner",57.2713975,15.3925351
"411","Callitriche cophocarpa Sendtner",60.2720339,18.285926
"412","Callitriche cophocarpa Sendtner",59.7336529,18.227886
"413","Callitriche cophocarpa Sendtner",57.5998689,14.897867
"414","Callitriche cophocarpa Sendtner",59.251916,17.448499
"415","Callitriche cophocarpa Sendtner",57.8270897820003,15.312082992067
"416","Callitriche cophocarpa Sendtner",59.69879,17.603566
"417","Callitriche cophocarpa Sendtner",58.531623,16.172999
"418","Callitriche cophocarpa Sendtner",59.912177,18.285585
"419","Callitriche cophocarpa Sendtner",60.040615,17.173444
"420","Callitriche cophocarpa Sendtner",57.38852,15.8575909
"421","Callitriche cophocarpa Sendtner",58.9413169,17.129705
"422","Callitriche cophocarpa Sendtner",63.5075959,18.844238
"423","Callitriche cophocarpa Sendtner",60.133744,18.437265
"424","Callitriche cophocarpa Sendtner",60.0822999,18.74775
"425","Callitriche cophocarpa Sendtner",59.33455,17.7705629
"426","Callitriche cophocarpa Sendtner",57.76747,14.8550179
"427","Callitriche cophocarpa Sendtner",58.8475669,17.472628
"428","Callitriche cophocarpa Sendtner",58.9450289,16.6955309
"429","Callitriche cophocarpa Sendtner",57.677993,13.995581
"430","Callitriche cophocarpa Sendtner",58.7134989,17.048946
"431","Callitriche cophocarpa Sendtner",59.2185551,17.7701473
"432","Callitriche cophocarpa Sendtner",59.737561,18.0058229
"433","Callitriche cophocarpa Sendtner",57.47816,12.038503
"434","Callitriche cophocarpa Sendtner",60.2992619111131,16.2006338597171
"435","Callitriche cophocarpa Sendtner",59.25401,17.273291
"436","Callitriche cophocarpa Sendtner",59.3973429,18.203838
"437","Callitriche cophocarpa Sendtner",59.0296629,17.263724
"438","Callitriche cophocarpa Sendtner",58.9924439,16.1748939
"439","Callitriche cophocarpa Sendtner",57.73393,13.403655
"440","Callitriche cophocarpa Sendtner",59.857559,17.4782599
"441","Callitriche cophocarpa Sendtner",59.9526159,18.512418
"442","Callitriche cophocarpa Sendtner",60.756276,15.445983
"443","Callitriche cophocarpa Sendtner",58.175693,14.193274
"444","Callitriche cophocarpa Sendtner",62.417943,17.478961
"445","Callitriche cophocarpa Sendtner",60.423664,17.5254569
"446","Callitriche cophocarpa Sendtner",58.577564,14.0923029
